legal_entity_abbr;legal_entity_stan;legal_entity_full;country;source
SOU;SOU;Sabiedriskās organizācijas uzņēmums;LV;
sp;SP;Státní podnik | Αυτοτελώς εργαζόμενος | Sociedad profesional | Säästöpankki | Secteur public;CZ | CY | ES | FI | LU;
šp;ŠP;Štátny podnik;SK;
sp z oo;SP Z OO;spółki z ograniczoną odpowiedzialnością;PL;
SPA;SPA;SOCIETA' PER AZIONI;IT;
Spb;SPB;Sparbanker;SE;
SPF;SPF;Service public fédéral;BE;
SPFPL SARL;SPFPL SARL;Société de Participations Financières de Profession Libérale Société à responsabilité limitée;FR;
SPFPL SAS;SPFPL SAS;Société de Participations Financières de Profession Libérale Société par actions simplifiée;FR;
SPFPL SCA;SPFPL SCA;Société de Participations Financières de Profession Libérale Société en commandite par actions;FR;
spk;SPK;spółki komandytowe;PL;
SPöR;SPÖR;Sonstige juristische Person des öffentlichen Rechts;DE;
spp;SPP;spółki partnerskie | Service public fédéral de programmation;PL | BE;
SpR;SPR;Stiftung des privaten Rechts;DE;
SPRL;SPRL;Société privée à responsabilité limitée;BE;
SPRL FS;SPRL FS;Société privée à responsabilité limitée à finalité sociale;BE;
SR;SR;Sonstiger Rechtsträger | Säätiö;AT;
SRC;SRC;Sociedad colectiva;ES;
SRL;SRL;SOCIETA' A RESPONSABILITA' LIMITATA | Sociedad de responsabilidad limitada | Societate cu răspundere limitată;ES | RO | IT;
SRLU;SRLU;Sociedad Limitada Unipersonal;ES;
sro;SRO;Společnost s ručením omezeným | Spoločnosť s ručením obmedzeným;CZ | SK;
SS;SS;Šaulių sąjunga | SOCIETA' SEMPLICE;LT | IT;
Stiftung GmbH & Co KG;STIFTUNG GMBH & CO KG;Stifungsgesellschaft mit beschränkter Haftung & Compagnie Kommanditgesellschaft;DE;
Stiftung GmbH & Co KGaA;STIFTUNG GMBH & CO KGAA;Stifungsgesellschaft mit beschränkter Haftung & Compagnie Kommanditgesellschaft an Aktien;DE;
Stiftung GmbH & Co OHG;STIFTUNG GMBH & CO OHG;Stifungsgesellschaft mit beschränkter Haftung & Compagnie offene Handelsgesellschaft;DE;
SUni;SUNI;Sociedade Unipessoal Por Quotas;PT;
SV;SV;Société d’Investissement à Capital Variable;MT;
svj;SVJ;Společenství vlastníků jednotek;CZ;
TR;TR;Tradicinė religinė bendruomenė ar bendrija;LT;
TÜ;TÜ;Täisühing;EE;
TUB;TUB;Tikroji ūkinė bendrija;LT;
TuÜ;TUÜ;Tulundusühistu;EE;
TUW;TUW;towarzystwa ubezpieczeń wzajemnych;PL;
UAB;UAB;Uždaroji akcinė bendrovė;LT;
UC;UC;Unlimited company ;IE;
UCITS;UCITS;Undertakings for Collective Investment in Transferable Securities;IE;
UG & Co KG;UG & CO KG;Unternehmergesellschaft  & Compagnie Kommanditgesellschaft;DE;
UG & Co KGaA;UG & CO KGAA;Unternehmergesellschaft  & Compagnie Kommanditgesellschaft an Aktien;DE;
UG & Co OHG;UG & CO OHG;Unternehmergesellschaft  & Compagnie offene Handelsgesellschaft;DE;
