word;replace;Column1
mayors;mayor;singular/plural
mays;may;singular/plural
meadows;meadow;singular/plural
measurements;measurement;singular/plural
mechanics;mechanic;singular/plural
medicaments;medicament;singular/plural
medicines;medicine;singular/plural
medics;medic;singular/plural
medios;medio;singular/plural
megawatts;megawatt;singular/plural
members;member;singular/plural
memorials;memorial;singular/plural
memories;memory;singular/plural
merchants;merchant;singular/plural
mercuries;mercury;singular/plural
metals;metal;singular/plural
methods;method;singular/plural
metrics;metric;singular/plural
microbreweries;microbrewery;singular/plural
microelectronics;microelectronic;singular/plural
microns;micron;singular/plural
micros;micro;singular/plural
microsystems;microsystem;singular/plural
mikes;mike;singular/plural
miles;mile;singular/plural
millenium;millennium;
millers;miller;singular/plural
mills;mill;singular/plural
minds;mind;singular/plural
minerals;mineral;singular/plural
miners;miner;singular/plural
mines;mine;singular/plural
mobilisations;mobilisation;singular/plural
modalities;modality;singular/plural
models;model;singular/plural
modules;module;singular/plural
mols;mol;singular/plural
monitors;monitor;singular/plural
monkeys;monkey;singular/plural
monks;monk;singular/plural
mons;mon;singular/plural
moons;moon;singular/plural
moorings;mooring;singular/plural
morgans;morgan;singular/plural
mortgages;mortgage;singular/plural
mosaics;mosaic;singular/plural
motorcycles;motorcycle;singular/plural
motors;motor;singular/plural
motorways;motorway;singular/plural
mouldings;moulding;singular/plural
mountains;mountain;singular/plural
movers;mover;singular/plural
movies;movie;singular/plural
muhl;muehl;
municipalities;municipality;singular/plural
nanotechnologies;nanotechnology;singular/plural
narrows;narrow;singular/plural
nations;nation;singular/plural
naturals;natural;singular/plural
natures;nature;singular/plural
navegacion;navigacion;
navigators;navigator;singular/plural
nederlands;nederland;
needs;need;singular/plural
nets;net;singular/plural
networkers;networker;singular/plural
networks;network;singular/plural
neurones;neurone;singular/plural
neurosciences;neuroscience;singular/plural
newspapers;newspaper;singular/plural
nigeria;nigerian;
nines;nine;singular/plural
nineties;ninety;singular/plural
nominees;nominee;singular/plural
noodles;noodle;singular/plural
normans;norman;singular/plural
notes;note;singular/plural
nothern;northern;
novelties;novelty;singular/plural
numbers;number;singular/plural
nurnberger;nuernberger;
nurseries;nursery;singular/plural
nusantara;nusantra;
nutraceuticals;nutraceutical;singular/plural
nutrients;nutrient;singular/plural
oaks;oak;singular/plural
oats;oat;singular/plural
objects;object;singular/plural
obligations;obligation;singular/plural
oceans;ocean;singular/plural
officers;officer;singular/plural
offices;office;singular/plural
oilfields;oilfield;singular/plural
oils;oil;singular/plural
olds;old;singular/plural
olefins;olefin;singular/plural
operations;operation;singular/plural
operators;operator;singular/plural
opportunities;opportunity;singular/plural
optics;optic;singular/plural
options;option;singular/plural
optoelectronics;optoelectronic;
orchards;orchard;singular/plural
orchids;orchid;singular/plural
ores;ore;singular/plural
organics;organic;singular/plural
organisation;organization;
originals;original;singular/plural
originations;origination;singular/plural
ornaments;ornament;singular/plural
osterreichische;oesterreichische;
others;other;singular/plural
outdoors;outdoor;singular/plural
outfitters;outfitter;singular/plural
owners;owner;singular/plural
oxides;oxide;singular/plural
packages;package;singular/plural
packers;packer;singular/plural
packs;pack;singular/plural
pages;page;singular/plural
paints;paint;singular/plural
palaces;palace;singular/plural
palms;palm;singular/plural
pals;pal;singular/plural
panels;panel;singular/plural
papers;paper;singular/plural
papr;paper;
paras;para;singular/plural
parks;park;singular/plural
participations;participation;singular/plural
partners;partner;singular/plural
partnerships;partnership;singular/plural
parts;part;singular/plural
pathways;pathway;singular/plural
patrols;patrol;singular/plural
patties;patty;singular/plural
payement;payment;
payments;payment;singular/plural
pays;pay;singular/plural
peaches;peach;singular/plural
peaks;peak;singular/plural
pearls;pearl;singular/plural
peeks;peek;singular/plural
pekasa;perkasa;
peninsula;peninsular;
pensions;pension;singular/plural
peoples;people;singular/plural
perfumes;perfume;singular/plural
peripherals;peripheral;singular/plural
perkins;perkin;
pesticides;pesticide;singular/plural
petals;petal;singular/plural
petards;petard;singular/plural
peters;peter;singular/plural
petrochemicals;petrochemical;singular/plural
petroleums;petroleum;singular/plural
pets;pet;singular/plural
pharmaceutial;pharmaceutical;
pharmaceuticals;pharmaceutical;singular/plural
pharmacies;pharmacy;singular/plural
philippines;philippine;
phosphates;phosphate;singular/plural
physicians;physician;singular/plural
physics;physic;singular/plural
pickles;pickle;singular/plural
pictures;picture;singular/plural
pieces;piece;singular/plural
pigments;pigment;singular/plural
pilgrims;pilgrim;singular/plural
