occurance;type;le_name;le_stand;source
End;abbr;lf;LF;ECB
End;full;landwirtschaftliche gesellschaft;LG;ECB
End;abbr;lg;LG;ECB
End;abbr;lh;LH;ECB
End;full;pfandleihhaus;LH;ECB
End;abbr;lig;LIG;ECB
End;full;līgumsabiedrība ar pilnu atbildību;LIG;ECB
End;abbr;limited & co kg;LIMITED & CO KG;ECB
End;full;limited & compagnie kommanditgesellschaft;LIMITED & CO KG;ECB
End;abbr;limited & co kgaa;LIMITED & CO KG AA;ECB
End;full;limited & compagnie kommanditgesellschaft an aktien;LIMITED & CO KG AA;ECB
End;abbr;limited & co ohg;LIMITED & CO OHG;ECB
End;full;limited & compagnie offene handelsgesellschaft;LIMITED & CO OHG;ECB
End;full;limited liability company;LLC;OWN
End;abbr;llc;LLC;Own
End;full;limited liability partnership;LLP;OWN
End;abbr;llp;LLP;OWN
End;full;lokale politiezone;LOKPOL;ECB
End;abbr;lokpol;LOKPOL;ECB
End;full;limited partnership;LP;OWN
End;full;lokale polizeizone;LP;ECB
End;abbr;lp;LP;ECB
End;full;lietuvos prekybos, pramonės ir amatų rūmų asociacija;LPRA;ECB
End;abbr;lpra;LPRA;ECB
End;abbr;limited;LTD;OWN
End;abbr;ltd;LTD;ECB
End;full;private company limited by shares;LTD;ECB
End;full;limitada;LTDA;OWN
End;abbr;ltda;LTDA;OWN
End;full;landbouwvennootschap;LV;ECB
End;abbr;lv;LV;ECB
End;full;mažoji bendrija;MB;ECB
End;abbr;mb;MB;ECB
End;abbr;mev;MEV;ECB
End;full;miteigentümervereinigung;MEV;ECB
End;full;maatschap;MS;ECB
End;abbr;ms;MS;ECB
End;full;mittetulundusühing;MTÜ;ECB
End;abbr;mtü;MTÜ;ECB
End;abbr;mutu;MUTU;ECB
End;full;mutualité;MUTU;ECB
End;full;mehrwertsteuereinheit;MWSE;ECB
End;abbr;mwse;MWSE;ECB
End;abbr;na;NA;ECB
End;full;nuolatinė komercinio arbitražo institucija;NA;ECB
End;full;odborová organizace;NA;ECB
End;full;organizace zaměstnavatelů;NA;ECB
End;full;svěřenský fond;NA;ECB
End;abbr;NL;NL;OWN
End;full;No liability;NL;OWN
End;full;nezisková organizácia;NO;ECB
End;abbr;no;NO;ECB
End;full;naamloze vennootschap;NV;ECB
End;abbr;nv;NV;ECB
End;full;naamloze vennootschap van publiek recht;NV PR;ECB
End;abbr;nv pr;NV PR;ECB
End;abbr;nv sa;NV SA;OWN
End;abbr;sa nv;NV SA;OWN
End;full;naamloze vennootschap met een sociaal oogmerk;NV SO;ECB
End;abbr;nv so;NV SO;ECB
End;abbr;nyrt;NYRT;OWN
End;abbr;oao;OAO;OWN
End;abbr;oap;OAP;ECB
End;full;organismo da administração pública;OAP;ECB
End;abbr;oba;OBA;ECB
End;full;országos betétbiztosítási alap;OBA;ECB
End;abbr;oc;OC;ECB
End;full;overseas company;OC;ECB
End;abbr;ocmw;OCMW;ECB
End;full;openbaar centrum voor maatschappelijk welzijn;OCMW;ECB
End;abbr;oe;OE;ECB
End;abbr;öe;ÖE;ECB
End;full;öffentliche einrichtung;ÖE;ECB
End;abbr;ofe;OFE;ECB
End;full;otwarte fundusze emerytalne;OFE;ECB
End;abbr;ofp;OFP;ECB
End;full;organisme de financement de pensions;OFP;ECB
End;full;öffentlich-rechtliche genossenschaft mit beschränkter haftung;ÖFRGMBH;ECB
End;abbr;öfrgmbh;ÖFRGMBH;ECB
End;full;offene gesellschaft;OG;ECB
End;abbr;og;OG;ECB
End;full;offene handelsgesellschaft;OHG;ECB
End;abbr;ohg;OHG;ECB
End;full;offene handelsgesellschaft mit sozialer zielsetzung;OHGMSZ;ECB
